l_c_x,l_c_y,l_r_x,l_r_y,l_t_x,l_t_y,l_l_x,l_l_y,l_b_x,l_b_y,r_c_x,r_c_y,r_r_x,r_r_y,r_t_x,r_t_y,r_l_x,r_l_y,r_b_x,r_b_y,x,y
339.861679,231.611438,343.270378,231.546607,339.767799,228.86251,336.403275,231.644812,339.928131,234.30984,379.001656,233.274007,382.53006,233.693833,379.39106,230.315108,375.516281,232.843323,378.637009,236.190362,1011,609
339.927788,231.462908,343.555527,231.411123,339.804573,228.666916,336.264343,231.483107,340.024185,234.197001,379.202919,233.260217,382.722244,233.653879,379.557571,230.30551,375.730438,232.859058,378.872452,236.171122,1086,493
341.697578,230.72402,345.456886,230.753603,341.610756,227.876959,337.864456,230.677757,341.738358,233.525548,381.065063,233.051405,384.601936,233.505049,381.475296,230.011611,377.545967,232.577348,380.665321,236.036725,1832,130
297.27602,261.657486,300.695019,259.954662,295.806751,258.788023,293.760967,263.36237,298.688431,264.484806,336.283264,242.896786,339.817543,241.434145,334.900093,239.821758,332.727203,244.342489,337.642593,245.93502,1833,133
356.125336,246.76054,359.855499,247.547464,356.740952,243.394918,352.305908,245.928497,355.475006,250.09223,397.549782,255.695744,401.066055,256.503468,398.311615,252.240486,394.08474,254.852457,396.832504,259.152145,1030,193
355.54718,248.547478,359.575233,249.314632,356.018639,245.192242,351.442108,247.754288,355.045853,251.856823,397.774887,257.689877,401.351242,258.453426,398.421059,254.221973,394.207916,256.896114,397.154846,261.136007,1087,387
355.955505,249.015884,359.8629,249.784241,356.395073,245.705452,351.943207,248.194513,355.467415,252.267838,398.130188,257.80077,401.77681,258.576908,398.766098,254.207554,394.479141,256.989212,397.512817,261.345091,1128,590
355.868416,248.966331,359.71508,249.721355,356.288223,245.615215,351.916885,248.167219,355.409317,252.257481,398.046722,257.827492,401.624222,258.582458,398.688087,254.170818,394.467735,257.039423,397.425804,261.440449,1128,590
409.64817,286.754379,416.624336,288.280048,410.668831,281.067839,402.589035,285.150776,408.577957,292.320671,480.825996,298.770704,487.644005,299.75029,481.58638,292.63258,473.961067,297.704287,480.072632,304.833441,1116,599
368.479004,279.823895,372.422676,279.821062,368.137016,275.566034,364.481125,279.59341,368.847084,283.920937,408.159523,278.682461,416.941757,279.457455,407.866249,273.061867,399.300346,277.834053,408.275337,284.410772,458,1053
354.257584,258.973675,360.736122,258.680477,354.054832,253.197556,347.820358,259.247961,354.432182,264.753084,420.931091,257.053757,427.345161,256.94561,420.606194,251.356373,414.552231,257.072439,421.298599,262.741699,1012,24
360.924988,258.82453,367.652283,258.642197,360.626259,253.116617,354.126396,258.99745,361.134491,264.53639,427.800407,257.182789,434.141273,257.119646,427.591133,251.199474,421.435814,257.161188,428.010521,263.155832,1356,5
352.981262,262.388134,359.23687,262.330055,353.049774,256.724911,346.752014,262.438345,352.914658,268.03462,419.279366,260.50684,426.093407,260.300303,419.11499,254.826164,412.550392,260.594673,419.47319,266.202478,567,262
362.897224,260.057058,369.314423,259.88451,362.47879,254.526215,356.378517,260.203657,363.186188,265.643463,429.989395,258.308115,436.120644,258.379927,429.700089,252.282972,423.826599,258.165722,430.278282,264.29924,1534,3
310.598259,194.254303,314.83223,193.917618,310.359612,189.736276,306.384487,194.578414,310.818443,198.781486,364.457855,190.407786,369.800186,190.282245,364.181824,185.830994,359.268112,190.46339,364.804497,194.995794,467,6
338.943596,191.454248,344.337044,191.411061,338.960533,186.625915,333.567009,191.482258,338.866234,196.287117,396.82045,193.065391,402.170525,193.446364,397.256279,188.204956,391.583138,192.609115,396.45874,197.957196,724,17
340.945129,196.230612,346.288109,196.047335,340.696526,191.485691,335.6287,196.384406,341.167984,200.955949,399.088402,193.601074,404.73896,193.665648,399.040756,188.504677,393.514862,193.434134,399.192352,198.721719,644,10
327.073898,211.544881,332.233009,211.745024,327.203522,206.875348,321.912498,211.289306,326.951218,216.109471,386.016045,212.638507,391.963882,212.742548,386.181679,207.868738,380.067368,212.497959,385.864868,217.414641,618,1057
350.215454,201.561069,355.389404,201.606388,350.053558,196.936512,344.884834,201.415415,350.316925,206.146688,407.589989,202.120571,412.725029,202.189722,407.298889,196.920733,402.438278,202.005072,407.871475,207.26675,1566,85
372.760887,273.757553,378.32653,274.772987,373.537521,269.073887,367.194824,272.695541,372.009201,278.343916,440.558128,282.389746,447.289581,283.036623,440.949745,277.381983,433.843918,281.725645,440.133553,287.374735,462,1060
347.385864,261.939068,352.70668,262.590208,347.981453,256.953678,342.050629,261.218204,346.775475,266.853361,411.724167,266.282387,418.723717,266.593552,411.728859,261.140528,404.81945,265.933485,411.691093,271.386509,615,1061
368.420219,253.76936,375.055733,254.000645,368.167305,248.773613,361.688614,253.507261,368.60775,258.71069,431.081009,252.64678,437.235298,252.496033,430.700302,246.949854,424.875107,252.73344,431.470222,258.307629,1566,89
259.150906,275.895395,265.687447,276.809177,260.416718,269.300709,252.657852,274.996977,257.868938,282.553911,335.416565,283.860855,342.864265,284.651012,336.17672,277.066526,328.165817,283.019772,334.650345,290.77117,272,19
264.519653,275.283251,271.497154,275.86338,265.524921,268.230114,257.590847,274.675026,263.49144,282.382393,341.705894,281.512098,349.833527,281.951408,342.217522,274.329128,333.737564,280.945444,341.207771,288.791599,471,17
290.886688,267.341824,298.335476,266.808014,289.817905,261.210365,283.101425,267.87652,291.927223,273.524265,365.67318,256.300421,371.689606,255.767841,364.469185,249.893818,359.44973,256.851711,366.801987,262.699528,1800,16
238.170319,302.693624,245.459442,302.850094,238.460617,296.743383,230.854454,302.500362,237.848587,308.576574,319.986324,304.647818,327.973175,304.505911,320.079498,298.505259,312.07756,304.713564,319.919147,310.653563,469,1060
221.868343,267.304974,228.336411,267.602978,222.678738,260.829506,215.448151,267.005625,221.062622,273.825874,298.850098,273.577852,306.048508,274.220867,299.706879,267.637339,291.885529,272.89444,297.955971,279.642048,270,18
243.552685,225.195107,250.958652,224.590845,243.81134,217.457385,236.584663,225.32258,243.585472,232.42836,314.85466,236.595325,323.832397,238.174353,316.803818,228.708,305.719185,235.093088,312.813568,244.521704,197,53
342.67971,301.786995,350.67234,302.022915,342.813187,295.230188,334.585915,301.503525,342.464752,308.267727,427.349815,300.147457,434.935684,300.02326,427.061234,293.465023,419.702873,300.229454,427.599106,306.829805,1273,516
324.377594,288.943748,332.030106,289.137869,324.554901,282.268467,316.640205,288.723907,324.109001,295.607643,406.323128,287.442026,414.38446,287.078819,405.946388,280.334415,398.310127,287.67231,406.746597,294.494562,1063,351
339.606361,295.092201,347.387466,295.616255,339.645615,288.480463,331.635704,294.503975,339.47834,301.701679,421.064034,295.963783,428.276443,296.131639,420.966492,289.234886,413.817368,295.742455,421.136246,302.645559,1757,526
304.786682,268.921709,311.901627,269.936857,306.021843,262.188091,297.698441,267.882156,303.526306,275.663795,382.320824,278.451519,389.883385,279.219818,383.242149,271.80459,374.983749,277.580395,381.409492,285.229826,510,19
319.685535,300.139875,327.056503,300.089951,319.130516,294.084148,312.017708,300.133696,320.119095,306.192741,398.791885,295.192909,405.809097,294.915276,398.323936,288.303423,391.568947,295.410547,399.123573,302.065287,1515,541
272.488899,271.963921,279.186916,272.660551,273.337383,265.571136,265.885754,271.237707,271.625385,278.306379,348.272972,279.514246,355.863647,280.262232,349.333305,273.210268,341.026154,278.682232,347.252655,285.919447,365,16
352.15168,310.761623,360.885658,312.619572,353.235321,304.87278,343.375549,308.832865,350.98526,316.552477,436.026077,332.381058,443.212471,333.884668,437.418594,326.547318,428.892593,330.886459,434.686012,338.152628,831,653
227.170372,275.439663,234.885921,274.896641,226.530495,269.355927,219.328499,275.952702,227.720032,281.452761,299.394016,268.544941,306.025829,267.915916,298.668785,262.373571,292.730122,269.105015,300.112076,274.654341,968,450
260.670471,279.02298,266.778164,278.775673,260.124607,273.381672,254.316139,279.22863,261.143742,284.725571,329.723053,272.517614,335.206947,272.147169,329.037514,266.816025,324.195976,272.819452,330.386276,278.207846,1715,546
370.331612,220.744343,373.599281,220.501757,370.549583,217.751513,367.114983,220.982809,370.073509,223.791275,409.565277,220.598016,413.008728,220.966587,409.988747,217.601252,406.198769,220.201621,409.166183,223.604965,472,16
377.452965,223.206739,381.041794,223.29473,377.627144,220.340352,373.856049,223.080397,377.254028,226.040082,417.370682,224.766698,420.963554,225.161262,417.759247,221.731267,413.840904,224.357729,416.982498,227.78851,943,53
379.048653,223.945384,382.49424,223.991804,379.235382,220.988159,375.569649,223.868079,378.829994,226.868048,418.781853,226.030712,422.604218,226.50557,419.152527,222.872486,414.998932,225.544338,418.417625,229.143348,568,1061
382.005501,222.896633,385.464821,223.081355,382.141418,219.886894,378.476257,222.696919,381.846962,225.892296,422.127609,225.559859,425.584412,226.061211,422.566414,222.618213,418.688011,225.04961,421.687584,228.463583,1565,86
299.553261,222.636838,302.709217,223.076906,299.7612,220.023422,296.283989,222.136416,299.288082,225.271726,337.544632,232.035141,340.922928,233.01002,338.340988,229.060292,334.18129,231.045642,336.770706,234.975944,1803,17
299.879971,222.647882,303.411942,223.299522,300.368671,219.912472,296.300926,221.978388,299.376698,225.361147,337.77298,232.108755,341.1203,232.960424,338.29113,228.884768,334.430428,231.246271,337.25029,235.313945,1807,16
329.950523,226.362977,333.95237,227.290907,330.598869,222.976642,325.899773,225.41635,329.219971,229.773717,366.753082,238.281384,369.672585,239.356227,367.771339,235.312858,363.782806,237.16404,365.720749,241.214733,1195,433
340.20565,227.081165,343.350487,228.252897,341.274834,224.35441,336.993637,225.866017,339.133682,229.830093,376.215248,241.72883,379.487686,243.224974,377.573891,238.645306,372.961731,240.22542,374.877853,244.782887,1764,708
312.815437,222.337675,316.454353,223.134127,313.503342,219.263134,309.237099,221.550937,312.145538,225.354896,350.589142,228.571358,353.837357,229.539342,351.341667,225.64363,347.459946,227.599597,349.858856,231.542058,236,49
318.090134,224.014249,321.668701,224.726415,318.889942,221.055923,314.540157,223.298349,317.283058,226.876116,356.149712,232.13253,359.508591,233.149252,357.145653,229.344621,352.9216,231.13399,355.168419,234.939179,190,678
324.831963,223.329134,328.494339,224.295516,325.828438,220.359378,321.080475,222.344999,323.791389,226.2953,362.905235,234.010763,366.282654,235.305462,364.0411,231.030264,359.547997,232.68621,361.769333,236.94839,1409,139
373.409462,253.452244,376.836739,252.933884,372.938118,250.003109,370.036392,253.968258,373.861427,256.896286,412.41848,248.848028,416.592369,248.444252,412.356529,245.469675,408.323746,249.226828,412.494469,252.23465,490,809
264.000435,234.981651,270.146618,234.467669,263.238335,229.10697,257.570839,235.436683,264.650249,240.831728,335.079155,229.192686,341.434097,228.713937,334.105644,222.767844,328.649025,229.641752,336.025658,235.592866,1565.0,76.0
